id,mass (g),reclat,reclong
12408.0,3833.0,44.28333,5.58333
12433.0,900.0,26.78333,82.71667
12434.0,37000.0,48.76667,0.63333
12435.0,212.5,21.86667,76.03333
12451.0,372.0,24.45,78.56667
12455.0,51700.0,47.7,1.06667
12456.0,7000.0,43.75,5.11667
12461.0,2300.0,58.85,16.73333
12464.0,1282.0,46.24167,126.19611
12465.0,7000.0,47.75,16.23333
12466.0,14250.0,33.13333,115.16667
12740.0,1060.0,51.9,-1.11667
12743.0,800.0,52.45,51.56667
12748.0,3000.0,47.16667,0.43333
12749.0,780.0,48.53333,-0.86667
12755.0,51500.0,35.88333,-99.33333
12756.0,460.0,-25.66667,28.36667
12759.0,271.4,52.66667,-6.96667
12760.0,877.0,34.58333,-87.5
12765.0,700.0,52.26667,32.85
12769.0,125.0,48.35,3.25
12772.0,2000.0,50.36667,4.73333
14646.0,4000.0,-26.15,26.18333
14650.0,6862.0,56.65,15.86667
14652.0,50000.0,52.56667,-8.78333
14655.0,1862.0,52.75,12.9
14659.0,498.0,31.63333,118.98333
14661.0,12800.0,50.2,14.85
14664.0,491.0,37.91667,-92.08333
14670.0,5213.0,56.0,26.43333
14675.0,1000.0,29.53333,71.8
14678.0,40000.0,26.96556,72.62667
52843.0,329.7,38.70066,-77.21163
14708.0,25.0,38.0,-0.83333
14711.0,17000.0,36.00833,-95.15
14716.0,1300.0,38.25,-85.75
14718.0,59000.0,52.0,19.91667
14721.0,9241.0,24.95,75.15
14724.0,3500.0,47.85,0.48333
14753.0,340.0,32.03333,-84.76667
14754.0,2520.0,24.8,103.3
14755.0,11000.0,56.21667,13.03333
14756.0,885.0,61.2,27.7
14757.0,14000.0,46.21667,5.0
14764.0,540.0,19.0,97.0
15370.0,1500.0,-5.2,-36.66667
15371.0,93200.0,-15.21222,35.24222
15372.0,1995.0,-28.83333,31.95
15379.0,1000.0,25.91667,86.36667
15380.0,400.0,-7.75,111.53333
15382.0,400.0,40.41667,-3.71667
15383.0,600.0,-26.16667,-49.93333
15386.0,5000.0,37.86667,27.51667
15387.0,666.6,-19.48333,31.65
47361.0,70500.0,27.66667,95.78333
30751.0,4629.0,12.83333,9.38333
15393.0,150.0,32.21667,-104.0
15394.0,2000.0,9.5,31.75
15395.0,470.0,-3.13333,33.51667
15400.0,807.0,-29.45,26.76667
15401.0,1000.0,45.21667,62.08333
15402.0,1700.0,23.05,86.7
15403.0,50.0,20.96667,76.1
15405.0,22300.0,-17.65,31.6
15409.0,3555.0,45.81667,44.63333
15414.0,4500.0,34.23333,72.08333
15419.0,340.0,42.71667,-99.38333
48973.0,25.81,54.76183,11.46745
15421.0,3200.0,4.66667,29.25
15422.0,2500.0,-22.25,-49.93333
15424.0,28400.0,41.9,-91.6
15426.0,45000.0,61.5,30.5
15429.0,3000.0,44.5,0.15
15430.0,6000.0,-14.2,48.1
15436.0,1443.0,35.8,-84.1
15438.0,1000.0,45.36667,1.86667
53653.0,24.54,0.0,0.0
15443.0,1600.0,48.13333,12.61667
15446.0,19000.0,48.18333,13.13333
15447.0,220.0,-20.0,57.0
15451.0,4850.0,8.96667,12.08333
15453.0,4000.0,24.68333,-101.68333
15454.0,4975.0,-1.21667,30.0
15455.0,150000.0,1.06667,34.16667
15467.0,31.0,-27.25,-67.5
15469.0,22.0,29.01667,77.8
15470.0,24750.0,-6.23333,106.88333
15485.0,10500.0,53.18333,13.15
15486.0,28.9,46.81867,7.21817
15489.0,4000.0,55.05,12.06667
15491.0,6000.0,0.0,37.66667
15492.0,71400.0,25.48333,81.98333
15495.0,2405.0,38.18333,15.56667
16626.0,870.0,50.58333,11.1
16627.0,1300.0,45.76667,3.25
16628.0,22700.0,46.5,25.73333
16629.0,350.0,25.9,83.61667
16631.0,1100.0,34.8,111.7
16632.0,1600.0,54.56667,-1.16667
52090.0,3584.0,42.9075,-90.36556
16634.0,8000.0,48.06667,30.96667
16635.0,6380.0,35.56833,133.22
16636.0,224.2,46.23333,17.53333
16640.0,10000.0,46.18333,16.1
16643.0,330000.0,-26.45,120.36667
16645.0,16700.0,35.4,-92.05
16692.0,1040.0,35.07833,136.93333
16696.0,42.0,37.28333,14.7
16697.0,5500.0,32.33333,120.66667
16700.0,550.0,47.7,16.6
16701.0,8510.0,25.68333,83.25
16703.0,5800.0,56.66667,23.0
16707.0,100.7,61.73333,5.93333
16709.0,300000.0,46.8,24.03333
16711.0,35000.0,38.5,-101.1
16713.0,4500.0,-39.63333,174.4
16715.0,144000.0,38.11667,-1.16667
16717.0,150.0,-31.25,26.46667
16719.0,2587.0,31.60833,-102.85833
16720.0,8600.0,35.25,-80.5
16725.0,4885.0,38.01667,-8.25
16726.0,3130.0,43.26667,13.35
16727.0,149000.0,43.39056,1.9625
16729.0,500.0,47.63333,1.58333
16736.0,1880.0,35.41667,-79.38333
16737.0,3520.0,52.45,-8.33333
16738.0,8887.5,-40.975,145.6
16740.0,70.0,28.78333,78.83333
16742.0,633.0,49.6,18.53333
16747.0,1300.0,44.6,5.13333
36592.0,3763.0,59.43333,10.7
16759.0,1500.0,26.83333,77.33333
16762.0,9150.0,45.2,8.5
16766.0,11300.0,-29.8,141.7
16804.0,110000.0,18.7,4.8
16805.0,17000.0,44.08333,6.86667
16820.0,1100.0,-11.5,33.5
16841.0,4400.0,12.63333,77.01667
16851.0,25.5,9.33333,80.83333
16874.0,4703.0,24.5,90.21667
16875.0,100000.0,-36.61667,145.2
16882.0,12600.0,36.6,-88.1
16885.0,1245.0,26.13333,85.53333
16889.0,8165.0,12.0,1.0
16890.0,1810.0,38.12167,140.06167
16892.0,20.0,26.98333,78.21667
16893.0,6100.0,49.16667,19.5
16898.0,10000.0,31.31667,30.35
16899.0,23200.0,13.73333,100.08333
16902.0,4500.0,12.28333,79.2
16903.0,52900.0,35.66667,103.5
16904.0,7500.0,38.41667,-77.16667
16907.0,529.0,32.11667,121.8
16908.0,17000.0,19.25,77.0
16909.0,2700.0,33.75,51.5
16912.0,367.5,-34.05,150.68889
16922.0,347.0,-21.73333,165.9
16927.0,105.0,21.25,83.66667
16934.0,420.0,36.44917,136.46528
16935.0,4500.0,18.68333,83.48333
16941.0,2450.0,9.5,35.33333
16945.0,10250.0,56.5,21.5
16950.0,6189.0,47.525,10.80833
16953.0,230000.0,40.0,-81.76667
16954.0,12000.0,15.36667,35.68333
16960.0,19256.0,29.94718,-90.10976
16966.0,1393.0,-7.45,111.41667
16968.0,37500.0,13.85,-4.38333
16976.0,3996.0,52.45,78.63333
16977.0,6000.0,56.11667,37.33333
16980.0,14250.0,29.86667,121.48333
16981.0,4610.0,32.925,105.90667
16982.0,467.0,34.2,131.56667
16983.0,17200.0,-28.56667,30.7
16984.0,2300.0,44.08333,-69.48333
16985.0,483.7,40.08528,-86.055
16988.0,472.0,33.725,130.75
16989.0,4000.0,-32.36667,-59.83333
16994.0,1050.0,36.21667,-92.26667
17922.0,1100000.0,39.68333,-99.86667
17930.0,177.0,45.29167,11.52722
17933.0,1900.0,54.81667,46.0
17935.0,1001.0,56.0,22.0
17936.0,250.0,42.91667,102.46667
17938.0,50000.0,24.3,-102.13333
17959.0,5000.0,41.63333,0.75
17960.0,363.0,43.33333,141.86667
17969.0,737.6,21.20833,94.91667
17970.0,1100.0,47.55,22.025
17979.0,500000.0,57.78333,55.26667
17988.0,1400.0,52.28333,8.05
17989.0,6000.0,58.5,23.0
17990.0,3750.0,47.88333,22.03333
17994.0,14360.0,33.28333,130.2
17995.0,16250.0,46.06667,23.58333
17996.0,7700.0,6.75,8.5
17997.0,5850.0,38.18333,-5.4
17998.0,194.0,36.18333,139.21667
18000.0,4742.0,35.08333,135.2
18002.0,12000.0,50.83333,25.5
18009.0,16570.0,52.95,8.16667
18013.0,150000.0,38.71667,-7.06667
18015.0,40000.0,39.56667,-2.1
18019.0,250000.0,64.02,161.80833
18026.0,14000.0,43.88333,1.38333
34489.0,180.0,28.5475,-81.36222
18030.0,6000.0,47.11667,6.15
18033.0,4500.0,48.5,8.0
18034.0,3400.0,42.13333,12.93333
18042.0,246.0,58.88333,9.4
18045.0,6510.0,38.4,140.35
18046.0,840.0,38.6,-95.21667
56729.0,4440.0,12.9,0.08
18050.0,1215.5,30.18,-6.57717
31282.0,17000.0,24.3,-13.1
18052.0,20000.0,37.60833,-8.28
18055.0,121.5,-18.0,16.0
18058.0,205.0,43.4,-5.86667
18068.0,3400.0,21.05,-99.3
18069.0,3858.0,55.66667,25.0
18072.0,515.0,17.74333,120.45583
